Customer	Pro 5	Defender	Ercomar Defender	CRADA	Ercomar	FDA	FIO	Indian Navy	Indian Navy Defender	JFN	Proceanic	SPAWAR	Stinger	VR Sales
Full Name	Pro 5	Defender	Ercomar Defender	CRADA	Ercomar	Finnsnes Diving and Constuction 	Florida Institute of Oceanography	Indian Navy	Indian Navy Defender	Jame Fisher Nuclear	Proceanic	SPAWAR	Stinger	VideoRay Sales
configName	Pro 5	Defender	Ercomar Defender	CRADA	Ercomar	Finnsnes Diving and Constuction 	Florida Institute of Oceanography	Indian Navy	Indian Navy Defender	Jame Fisher Nuclear	Proceanic	SPAWAR	Stinger	VideoRay Sales
htmlVersion	pro_5	defender	ercomar_defender	crada	ercomar	fda	fio	indian_navy	indian_navy_defender	jfn	proceanic	spawar	stinger	vr_sales
Serial Number														
														
Frame Type	pro_5	defender	defender	alpha	alpha	alpha	alpha	alpha	defender	alpha	alpha	alpha	alpha	alpha
Buoyancy Type	pro_5	defender	defender	alpha	alpha	alpha	alpha	alpha	defender	alpha	alpha	alpha	alpha	alpha
Ballast Type	pro_5	defender	defender	alpha	alpha	alpha	alpha	alpha	defender	alpha	alpha	alpha	alpha	alpha
Payload Platform														
														
Power Module Type	dual	defender	defender	alpha	alpha	alpha	alpha	alpha	defender	alpha	alpha	alpha	alpha	alpha
Power Serial Number														
Power Group ID		195	195	195	195	195	195	195	195	195	195	195	195	195
Power Node ID		1	1	1	1	1	1	1	1	1	1	1	1	1
														
Comms Module Type	dual	defender	defender	alpha	alpha	alpha	alpha	alpha	defender	alpha	alpha	alpha	alpha	alpha
Comms Serial Number														
Comms Group ID		193	193	193	193	193	193	193	193	193	193	193	193	193
Comms Node ID		2	2	2	2	2	2	2	2	2	2	2	2	2
														
Port 2 TCP Port	N/A	7445	7445			7445		7445	7445					
Port 2 Baud Rate								115200	115200					
Port 2 Notes								http://192.168.1.11/streamA.jpg?multipart=true	http://192.168.1.11/streamA.jpg?multipart=true					
														
Port 3 TCP Port	7446	7446	7446			7446		7446	7446					
Port 3 Baud Rate								38400	38400					
Port 3 Notes														
														
Port 4 TCP Port	N/A	7447	7447			7447		7447	7447					
Port 4 Baud Rate								115200	115200					
Port 4 Notes								port 7444 IMU, port 7445 Depth	port 7444 IMU, port 7445 Depth					
														
Port 5 TCP Port	7448	7448	7448			7448		7448	7448					
Port 5 Baud Rate								115200	115200					
Port 5 Notes								http://192.168.1.13/streamA.jpg?multipart=true	http://192.168.1.13/streamA.jpg?multipart=true					
														
Port 6 TCP Port	7449	7449	7449			7449		7449	7449					
Port 6 Baud Rate	38400	38400						115200	115200					
Port 6 Notes														
														
AHRSD Module		defender	defender	alpha	alpha	alpha	alpha	alpha	defender	alpha	alpha	alpha	alpha	alpha
AHRSD Serial Number														
AHRSD Group ID		194	194	194	194	194	194	194	194	194	194	194	194	194
AHRSD Node ID		3	3	3	3	3	3	3	3	3	3	3	3	3
AHRSD Notes														
														
Thruster Module	pro_5	defender	defender	alpha	alpha	alpha	alpha	alpha	defender	alpha	alpha	alpha	alpha	alpha
Thruster 1 Serial Number														
Thruster 1 Location	Port	Forward Port	Forward Port	Forward Port	Forward Port	Forward Port	Forward Port	Forward Port	Forward Port	Forward Port	Forward Port	Forward Port	Forward Port	Forward Port
